epoch,accuracy,loss,val_accuracy,val_loss
0,0.16082587838172913,2.3424994945526123,0.1306641548871994,2.3330085277557373
1,0.1610613912343979,2.341034412384033,0.1306641548871994,2.3337318897247314
2,0.1610613912343979,2.3408010005950928,0.1306641548871994,2.334688425064087
3,0.1610613912343979,2.340796709060669,0.1306641548871994,2.335083484649658
4,0.1610613912343979,2.340679883956909,0.1306641548871994,2.332332134246826
5,0.1610613912343979,2.340449571609497,0.1306641548871994,2.3328263759613037
6,0.1610613912343979,2.340135335922241,0.1306641548871994,2.33410906791687
7,0.1610613912343979,2.3400766849517822,0.1306641548871994,2.3333683013916016
8,0.1610613912343979,2.34021258354187,0.1306641548871994,2.3340933322906494
9,0.1610613912343979,2.3401505947113037,0.1306641548871994,2.3344030380249023
10,0.1610613912343979,2.3400230407714844,0.1306641548871994,2.332279682159424
11,0.1610613912343979,2.339972496032715,0.1306641548871994,2.3333184719085693
12,0.1610613912343979,2.339925527572632,0.1306641548871994,2.3330373764038086
13,0.1610613912343979,2.339956760406494,0.1306641548871994,2.3332715034484863
14,0.1610613912343979,2.3398752212524414,0.1306641548871994,2.333345890045166
15,0.1610613912343979,2.3398797512054443,0.1306641548871994,2.334421396255493
16,0.1610613912343979,2.3398454189300537,0.1306641548871994,2.3339626789093018
17,0.1610613912343979,2.339813470840454,0.1306641548871994,2.3337979316711426
18,0.1610613912343979,2.339778423309326,0.1306641548871994,2.333752155303955
19,0.1610613912343979,2.3398594856262207,0.1306641548871994,2.333509922027588
20,0.1610613912343979,2.339841604232788,0.1306641548871994,2.333376407623291
